"RecordNumber","Author","Coding","Theory","Year"
55,"Yang, Qinghua, Chen, Yixin and Wendorf Muhamad, Jessica","Non-healthcare/Attitude/Trust","The main-effect model of social support;Health Information model;Comprehensive Model of Infomation Seeking (CMIS)",2017
57,"Lin, Trisha T. and Bautista, John Robert","Source/Knowledge","NA",2017
57,"Lin, Trisha T. and Bautista, John Robert","Non-healthcare/Experience","NA",2017
57,"Lin, Trisha T. and Bautista, John Robert","Self-Efficacy/Perceived Behavioral Control","NA",2017
64,"Cutrona, Sarah L., Mazor, Kathleen M., Agunwamba, Amenah A., Valluri, Srutlii, Wilson, Patrick M., Sadasivam, Rajani S. and Rutten, Lila J.","S/Age","NA",2016
64,"Cutrona, Sarah L., Mazor, Kathleen M., Agunwamba, Amenah A., Valluri, Srutlii, Wilson, Patrick M., Sadasivam, Rajani S. and Rutten, Lila J.","S/Education","NA",2016
64,"Cutrona, Sarah L., Mazor, Kathleen M., Agunwamba, Amenah A., Valluri, Srutlii, Wilson, Patrick M., Sadasivam, Rajani S. and Rutten, Lila J.","S/Gender","NA",2016
67,"Jiang, Shaohai and Street, Richard L.","S/Age","Three stage model of health promotion",2017
67,"Jiang, Shaohai and Street, Richard L.","S/Financial-Income","Three stage model of health promotion",2017
68,"Cao, Weidan, Zhang, Xinyao, Xu, Kaibin and Wang, Yuanxin","Attitude","Second Wilson Model of Information Behaviour",2016
68,"Cao, Weidan, Zhang, Xinyao, Xu, Kaibin and Wang, Yuanxin","Self-Efficacy","Second Wilson Model of Information Behaviour",2016
68,"Cao, Weidan, Zhang, Xinyao, Xu, Kaibin and Wang, Yuanxin","Internet/Access","Second Wilson Model of Information Behaviour",2016
68,"Cao, Weidan, Zhang, Xinyao, Xu, Kaibin and Wang, Yuanxin","Internet/Attitude/Trust","Second Wilson Model of Information Behaviour",2016
72,"Stonbraker, Samantha, Befus, Montina, Lerebours Nadal, Leonel, Halpern, Mina and Larson, Elaine","S/Carer","Wilsons Model of Information Behaviour;",2017
72,"Stonbraker, Samantha, Befus, Montina, Lerebours Nadal, Leonel, Halpern, Mina and Larson, Elaine","S/Gender","Wilsons Model of Information Behaviour;",2017
72,"Stonbraker, Samantha, Befus, Montina, Lerebours Nadal, Leonel, Halpern, Mina and Larson, Elaine","Healthcare/Experience","Wilsons Model of Information Behaviour;",2017
73,"Lee, Young Ji, Boden-Albala, Bernadette, Jia, Haomiao, Wilcox, Adam and Bakken, Suzanne","Environ/Network/Internet","Integrative Model of eHealth Use",2015
73,"Lee, Young Ji, Boden-Albala, Bernadette, Jia, Haomiao, Wilcox, Adam and Bakken, Suzanne","Health Status","Integrative Model of eHealth Use",2015
73,"Lee, Young Ji, Boden-Albala, Bernadette, Jia, Haomiao, Wilcox, Adam and Bakken, Suzanne","Info/Health/Info Seeking","Integrative Model of eHealth Use",2015
73,"Lee, Young Ji, Boden-Albala, Bernadette, Jia, Haomiao, Wilcox, Adam and Bakken, Suzanne","S/Age","Integrative Model of eHealth Use",2015
73,"Lee, Young Ji, Boden-Albala, Bernadette, Jia, Haomiao, Wilcox, Adam and Bakken, Suzanne","S/Race or Ethnicity","Integrative Model of eHealth Use",2015
75,"Noh, Ghee-Young, Lee, Sun Young and Choi, Jounghwa","Attitude/Concern","Risk Information Seeking and Processing (RISP)",2016
75,"Noh, Ghee-Young, Lee, Sun Young and Choi, Jounghwa","Self-Efficacy","Risk Information Seeking and Processing (RISP)",2016
75,"Noh, Ghee-Young, Lee, Sun Young and Choi, Jounghwa","Info/Info Needs","Risk Information Seeking and Processing (RISP)",2016
82,"Lumpkins, Crystal Y., Mabachi, Natabhona, Lee, Jaehoon, Pacheco, Christina, Greiner, K. and Geana, Mugur","Non-healthcare/Type","Kobayshi and Smith Logic Model;",2017
92,"Chang, Leanne, Yen, Ching Chiuan, Xue, Lishan, Tai, Bee Choo, Chan, Hock Chuan, Duh, Henry Been-Lirn and Choolani, Mahesh","Attitude","Theory of Planned Behavior (TPB);Social Cognitive Theory (SCT)",2017
92,"Chang, Leanne, Yen, Ching Chiuan, Xue, Lishan, Tai, Bee Choo, Chan, Hock Chuan, Duh, Henry Been-Lirn and Choolani, Mahesh","Attitude/Concern","Theory of Planned Behavior (TPB);Social Cognitive Theory (SCT)",2017
92,"Chang, Leanne, Yen, Ching Chiuan, Xue, Lishan, Tai, Bee Choo, Chan, Hock Chuan, Duh, Henry Been-Lirn and Choolani, Mahesh","Self-Efficacy","Theory of Planned Behavior (TPB);Social Cognitive Theory (SCT)",2017
92,"Chang, Leanne, Yen, Ching Chiuan, Xue, Lishan, Tai, Bee Choo, Chan, Hock Chuan, Duh, Henry Been-Lirn and Choolani, Mahesh","Self-Efficacy/Perceived Behavioral Control","Theory of Planned Behavior (TPB);Social Cognitive Theory (SCT)",2017
92,"Chang, Leanne, Yen, Ching Chiuan, Xue, Lishan, Tai, Bee Choo, Chan, Hock Chuan, Duh, Henry Been-Lirn and Choolani, Mahesh","Health Cond/Beliefs","Theory of Planned Behavior (TPB);Social Cognitive Theory (SCT)",2017
92,"Chang, Leanne, Yen, Ching Chiuan, Xue, Lishan, Tai, Bee Choo, Chan, Hock Chuan, Duh, Henry Been-Lirn and Choolani, Mahesh","S/Employment","Theory of Planned Behavior (TPB);Social Cognitive Theory (SCT)",2017
92,"Chang, Leanne, Yen, Ching Chiuan, Xue, Lishan, Tai, Bee Choo, Chan, Hock Chuan, Duh, Henry Been-Lirn and Choolani, Mahesh","S/Race or Ethnicity","Theory of Planned Behavior (TPB);Social Cognitive Theory (SCT)",2017
92,"Chang, Leanne, Yen, Ching Chiuan, Xue, Lishan, Tai, Bee Choo, Chan, Hock Chuan, Duh, Henry Been-Lirn and Choolani, Mahesh","Internet/Experience","Theory of Planned Behavior (TPB);Social Cognitive Theory (SCT)",2017
94,"Somera, Lilnabeth P., Lee, Hye-Ryeon, Badowski, Grazyna and Cassel, Kevin","S/Education","NA",2016
94,"Somera, Lilnabeth P., Lee, Hye-Ryeon, Badowski, Grazyna and Cassel, Kevin","S/Employment","NA",2016
94,"Somera, Lilnabeth P., Lee, Hye-Ryeon, Badowski, Grazyna and Cassel, Kevin","S/Gender","NA",2016
94,"Somera, Lilnabeth P., Lee, Hye-Ryeon, Badowski, Grazyna and Cassel, Kevin","S/Race or Ethnicity","NA",2016
94,"Somera, Lilnabeth P., Lee, Hye-Ryeon, Badowski, Grazyna and Cassel, Kevin","S/Financial-Income","NA",2016
103,"Pollard, Christina Mary, Pulker, Claire Elizabeth, Meng, Xingqiong, Kerr, Deborah Anne and Scott, Jane Anne","S/Age","NA",2015
103,"Pollard, Christina Mary, Pulker, Claire Elizabeth, Meng, Xingqiong, Kerr, Deborah Anne and Scott, Jane Anne","S/Education","NA",2015
103,"Pollard, Christina Mary, Pulker, Claire Elizabeth, Meng, Xingqiong, Kerr, Deborah Anne and Scott, Jane Anne","S/Gender","NA",2015
103,"Pollard, Christina Mary, Pulker, Claire Elizabeth, Meng, Xingqiong, Kerr, Deborah Anne and Scott, Jane Anne","S/Location","NA",2015
103,"Pollard, Christina Mary, Pulker, Claire Elizabeth, Meng, Xingqiong, Kerr, Deborah Anne and Scott, Jane Anne","S/Race or Ethnicity","NA",2015
105,"Jamal, Amr, Khan, Samina A., AlHumud, Ahmed, Al-Duhyyim, Abdulaziz, Alrashed, Mohammed, Shabr, Faisal Bin, Alteraif, Alwalid, Almuziri, Abdullah, Househ, Mowafa and Qureshi, Riaz","Health Cond/Knowledge","NA",2015
105,"Jamal, Amr, Khan, Samina A., AlHumud, Ahmed, Al-Duhyyim, Abdulaziz, Alrashed, Mohammed, Shabr, Faisal Bin, Alteraif, Alwalid, Almuziri, Abdullah, Househ, Mowafa and Qureshi, Riaz","S/Education","NA",2015
107,"Bidmon, Sonja and Terlutter, Ralf","Health Cond/Knowledge","Theory of Planned Behavior (TPB);Technology Acceptance Model (TAM); Theory of Reasoned Action;Functional Theory of Media Use",2015
107,"Bidmon, Sonja and Terlutter, Ralf","Info/Attitude/Trust","Theory of Planned Behavior (TPB);Technology Acceptance Model (TAM); Theory of Reasoned Action;Functional Theory of Media Use",2015
107,"Bidmon, Sonja and Terlutter, Ralf","Info/Health/Info Seeking","Theory of Planned Behavior (TPB);Technology Acceptance Model (TAM); Theory of Reasoned Action;Functional Theory of Media Use",2015
107,"Bidmon, Sonja and Terlutter, Ralf","S/Society/Engagement","Theory of Planned Behavior (TPB);Technology Acceptance Model (TAM); Theory of Reasoned Action;Functional Theory of Media Use",2015
107,"Bidmon, Sonja and Terlutter, Ralf","Healthcare/Beliefs","Theory of Planned Behavior (TPB);Technology Acceptance Model (TAM); Theory of Reasoned Action;Functional Theory of Media Use",2015
107,"Bidmon, Sonja and Terlutter, Ralf","Internet/Beliefs","Theory of Planned Behavior (TPB);Technology Acceptance Model (TAM); Theory of Reasoned Action;Functional Theory of Media Use",2015
109,"Rowlands, Ingrid Jean, Loxton, Deborah, Dobson, Annette and Mishra, Gita Devi","Health Behav","NA",2015
109,"Rowlands, Ingrid Jean, Loxton, Deborah, Dobson, Annette and Mishra, Gita Devi","Health Cond","NA",2015
113,"Tennant, Bethany, Stellefson, Michael, Dodd, Virginia, Chaney, Beth, Chaney, Don, Paige, Samantha and Alber, Julia","S/Education","Structural Influence Model (SIM);Lily Model",2015
113,"Tennant, Bethany, Stellefson, Michael, Dodd, Virginia, Chaney, Beth, Chaney, Don, Paige, Samantha and Alber, Julia","S/Gender","Structural Influence Model (SIM);Lily Model",2015
113,"Tennant, Bethany, Stellefson, Michael, Dodd, Virginia, Chaney, Beth, Chaney, Don, Paige, Samantha and Alber, Julia","Internet/Experience","Structural Influence Model (SIM);Lily Model",2015
115,"Medlock, Stephanie, Eslami, Saeid, Askari, Marjan, Arts, Derk L., Sent, Danielle, de Rooij, Sophia E. and Abu-Hanna, Ameen","S/Age","Autonomy Preference Index (API)",2015
115,"Medlock, Stephanie, Eslami, Saeid, Askari, Marjan, Arts, Derk L., Sent, Danielle, de Rooij, Sophia E. and Abu-Hanna, Ameen","S/Gender","Autonomy Preference Index (API)",2015
115,"Medlock, Stephanie, Eslami, Saeid, Askari, Marjan, Arts, Derk L., Sent, Danielle, de Rooij, Sophia E. and Abu-Hanna, Ameen","Internet/Experience","Autonomy Preference Index (API)",2015
116,"Shahab, Lion, Brown, Jamie, Gardner, Benjamin and Smith, Samuel George","Health Behav","NA",2014
116,"Shahab, Lion, Brown, Jamie, Gardner, Benjamin and Smith, Samuel George","Health Status","NA",2014
116,"Shahab, Lion, Brown, Jamie, Gardner, Benjamin and Smith, Samuel George","S/Education","NA",2014
116,"Shahab, Lion, Brown, Jamie, Gardner, Benjamin and Smith, Samuel George","S/Gender","NA",2014
116,"Shahab, Lion, Brown, Jamie, Gardner, Benjamin and Smith, Samuel George","Internet/Type","NA",2014
117,"Amo, Laura","S/Financial-Capital","Information Foraging Theory",2016
117,"Amo, Laura","Health Status","Information Foraging Theory",2016
117,"Amo, Laura","S/Age","Information Foraging Theory",2016
117,"Amo, Laura","S/Education","Information Foraging Theory",2016
117,"Amo, Laura","S/Employment","Information Foraging Theory",2016
117,"Amo, Laura","S/Household","Information Foraging Theory",2016
117,"Amo, Laura","S/Gender","Information Foraging Theory",2016
117,"Amo, Laura","S/Race or Ethnicity","Information Foraging Theory",2016
117,"Amo, Laura","Healthcare/Experience","Information Foraging Theory",2016
117,"Amo, Laura","Internet/Experience","Information Foraging Theory",2016
117,"Amo, Laura","S/Financial-Health Insurance","Information Foraging Theory",2016
117,"Amo, Laura","S/Financial-Income","Information Foraging Theory",2016
120,"Gonzalez, Mariaelena, Sanders-Jackson, Ashley and Emory, Jason","S/Financial-Capital","NA",2016
120,"Gonzalez, Mariaelena, Sanders-Jackson, Ashley and Emory, Jason","Health Behav","NA",2016
120,"Gonzalez, Mariaelena, Sanders-Jackson, Ashley and Emory, Jason","Health Cond","NA",2016
120,"Gonzalez, Mariaelena, Sanders-Jackson, Ashley and Emory, Jason","S/Age","NA",2016
120,"Gonzalez, Mariaelena, Sanders-Jackson, Ashley and Emory, Jason","S/Education","NA",2016
120,"Gonzalez, Mariaelena, Sanders-Jackson, Ashley and Emory, Jason","S/Gender","NA",2016
120,"Gonzalez, Mariaelena, Sanders-Jackson, Ashley and Emory, Jason","S/Language","NA",2016
120,"Gonzalez, Mariaelena, Sanders-Jackson, Ashley and Emory, Jason","S/Race or Ethnicity","NA",2016
120,"Gonzalez, Mariaelena, Sanders-Jackson, Ashley and Emory, Jason","S/Society/Engagement","NA",2016
120,"Gonzalez, Mariaelena, Sanders-Jackson, Ashley and Emory, Jason","Healthcare/Familiarity","NA",2016
128,"Aicken, Catherine R., Estcourt, Claudia S., Johnson, Anne M., Sonnenberg, Pam, Wellings, Kaye and Mercer, Catherine H.","Health Behav","NA",2016
128,"Aicken, Catherine R., Estcourt, Claudia S., Johnson, Anne M., Sonnenberg, Pam, Wellings, Kaye and Mercer, Catherine H.","S/Age","NA",2016
128,"Aicken, Catherine R., Estcourt, Claudia S., Johnson, Anne M., Sonnenberg, Pam, Wellings, Kaye and Mercer, Catherine H.","S/Education","NA",2016
128,"Aicken, Catherine R., Estcourt, Claudia S., Johnson, Anne M., Sonnenberg, Pam, Wellings, Kaye and Mercer, Catherine H.","S/Employment","NA",2016
128,"Aicken, Catherine R., Estcourt, Claudia S., Johnson, Anne M., Sonnenberg, Pam, Wellings, Kaye and Mercer, Catherine H.","S/Location","NA",2016
128,"Aicken, Catherine R., Estcourt, Claudia S., Johnson, Anne M., Sonnenberg, Pam, Wellings, Kaye and Mercer, Catherine H.","S/Race or Ethnicity","NA",2016
128,"Aicken, Catherine R., Estcourt, Claudia S., Johnson, Anne M., Sonnenberg, Pam, Wellings, Kaye and Mercer, Catherine H.","Healthcare/Experience","NA",2016
128,"Aicken, Catherine R., Estcourt, Claudia S., Johnson, Anne M., Sonnenberg, Pam, Wellings, Kaye and Mercer, Catherine H.","Internet/Access","NA",2016
148,"Bernat, Jennifer K., Skolarus, Ted A., Hawley, Sarah T., Haggstrom, David A., Darwish-Yassine, May and Wittmann, Daniela A.","Self-Efficacy","Information-seeking Experiences (ISEE) scale",2016
148,"Bernat, Jennifer K., Skolarus, Ted A., Hawley, Sarah T., Haggstrom, David A., Darwish-Yassine, May and Wittmann, Daniela A.","S/Education","Information-seeking Experiences (ISEE) scale",2016
148,"Bernat, Jennifer K., Skolarus, Ted A., Hawley, Sarah T., Haggstrom, David A., Darwish-Yassine, May and Wittmann, Daniela A.","S/Financial-Income","Information-seeking Experiences (ISEE) scale",2016
168,"Kobayashi, Lindsay C. and Smith, Samuel G.","Health Cond/Beliefs","NA",2016
168,"Kobayashi, Lindsay C. and Smith, Samuel G.","S/Health/Health Literacy","NA",2016
170,"Waters, Erika A., Wheeler, Courtney and Hamilton, Jada G.","S/Education","Theories of Health Behavior (Conner & Norman, 1995);Persuasion (Chaiken, Giner-Sorolla, & Chen, 1996; Petty & Cacioppo, 1996);Communication (Griffin, Dunwoody, & Neuwirth, 1999;McGuire, 1984;R. E. Smith & Swinyard, 1982)",2016
170,"Waters, Erika A., Wheeler, Courtney and Hamilton, Jada G.","S/Gender","Theories of Health Behavior (Conner & Norman, 1995);Persuasion (Chaiken, Giner-Sorolla, & Chen, 1996; Petty & Cacioppo, 1996);Communication (Griffin, Dunwoody, & Neuwirth, 1999;McGuire, 1984;R. E. Smith & Swinyard, 1982)",2016
170,"Waters, Erika A., Wheeler, Courtney and Hamilton, Jada G.","S/Race or Ethnicity","Theories of Health Behavior (Conner & Norman, 1995);Persuasion (Chaiken, Giner-Sorolla, & Chen, 1996; Petty & Cacioppo, 1996);Communication (Griffin, Dunwoody, & Neuwirth, 1999;McGuire, 1984;R. E. Smith & Swinyard, 1982)",2016
175,"Bjarnadottir, R., Millery, M., Fleck, E. and Bakken, S.","S/Age","NA",2016
175,"Bjarnadottir, R., Millery, M., Fleck, E. and Bakken, S.","S/Health/Health Literacy","NA",2016
175,"Bjarnadottir, R., Millery, M., Fleck, E. and Bakken, S.","S/Language","NA",2016
178,"Huerta, Timothy R., Walker, Daniel M., Johnson, Tyler and Ford, Eric W.","Health Cond","Finney Rutten and Colleagues Model (2006)",2016
178,"Huerta, Timothy R., Walker, Daniel M., Johnson, Tyler and Ford, Eric W.","Health Cond/Family","Finney Rutten and Colleagues Model (2006)",2016
178,"Huerta, Timothy R., Walker, Daniel M., Johnson, Tyler and Ford, Eric W.","S/Age","Finney Rutten and Colleagues Model (2006)",2016
178,"Huerta, Timothy R., Walker, Daniel M., Johnson, Tyler and Ford, Eric W.","S/Education","Finney Rutten and Colleagues Model (2006)",2016
178,"Huerta, Timothy R., Walker, Daniel M., Johnson, Tyler and Ford, Eric W.","S/Gender","Finney Rutten and Colleagues Model (2006)",2016
178,"Huerta, Timothy R., Walker, Daniel M., Johnson, Tyler and Ford, Eric W.","Healthcare/Familiarity","Finney Rutten and Colleagues Model (2006)",2016
178,"Huerta, Timothy R., Walker, Daniel M., Johnson, Tyler and Ford, Eric W.","S/Financial-Income","Finney Rutten and Colleagues Model (2006)",2016
185,"Blanch-Hartigan, Danielle, Blake, Kelly D. and Viswanath, Kasisomayajula","S/Gender","Well-Informed, Thriving and Surviving (WITS) questionnaire in 2008",2014
185,"Blanch-Hartigan, Danielle, Blake, Kelly D. and Viswanath, Kasisomayajula","S/Financial-Capital","Well-Informed, Thriving and Surviving (WITS) questionnaire in 2008",2014
185,"Blanch-Hartigan, Danielle, Blake, Kelly D. and Viswanath, Kasisomayajula","S/Education","Well-Informed, Thriving and Surviving (WITS) questionnaire in 2008",2014
189,"Wei, Mi-Hsiu","S/Education","Wilsons Model of Information Behaviour;",2016
189,"Wei, Mi-Hsiu","Self-Efficacy","Wilsons Model of Information Behaviour;",2016
189,"Wei, Mi-Hsiu","S/Gender","Wilsons Model of Information Behaviour;",2016
189,"Wei, Mi-Hsiu","S/Age","Wilsons Model of Information Behaviour;",2016
189,"Wei, Mi-Hsiu","S/Health/Health Literacy","Wilsons Model of Information Behaviour;",2016
192,"Cutrona, Sarah L., Mazor, Kathleen M., Vieux, Sana N., Luger, Tana M., Volkman, Julie E. and Finney Rutten, Lila J.","S/Household","NA",2015
192,"Cutrona, Sarah L., Mazor, Kathleen M., Vieux, Sana N., Luger, Tana M., Volkman, Julie E. and Finney Rutten, Lila J.","Internet/Experience","NA",2015
205,"Lee, Seow Ting and Lin, Julian","Internal locus of control","Self Determination Theory (SDT)",2016
205,"Lee, Seow Ting and Lin, Julian","S/Society/Engagement","Self Determination Theory (SDT)",2016
206,"Willoughby, Jessica Fitts and Myrick, Jessica Gall","Self-Efficacy/Perceived Behavioral Control","Planned Risk Information Seeking Model (PRISM)",2016
206,"Willoughby, Jessica Fitts and Myrick, Jessica Gall","Society/Subjective Norms","Planned Risk Information Seeking Model (PRISM)",2016
206,"Willoughby, Jessica Fitts and Myrick, Jessica Gall","Attitude","Planned Risk Information Seeking Model (PRISM)",2016
206,"Willoughby, Jessica Fitts and Myrick, Jessica Gall","Health/Risk/Beliefs","Planned Risk Information Seeking Model (PRISM)",2016
206,"Willoughby, Jessica Fitts and Myrick, Jessica Gall","Attitude/Concern","Planned Risk Information Seeking Model (PRISM)",2016
218,"Feinberg, Iris, Frijters, Jan, Johnson-Lawrence, Vicki, Greenberg, Daphne, Nightingale, Elena and Moodie, Chelsea","Internet/Type","Wide Range Achievement Test (WRAT);Rapid Estimate of Adult Literacy in Medicine (REALM);Test Of Functional Health Literacy in Adults (TOFHLA)",2016
218,"Feinberg, Iris, Frijters, Jan, Johnson-Lawrence, Vicki, Greenberg, Daphne, Nightingale, Elena and Moodie, Chelsea","Non-healthcare/Type","Wide Range Achievement Test (WRAT);Rapid Estimate of Adult Literacy in Medicine (REALM);Test Of Functional Health Literacy in Adults (TOFHLA)",2016
231,"Lannin, Daniel G., Vogel, David L., Brenner, Rachel E., Abraham, W. and Heath, Patrick J.","Self-Efficacy","NA",2016
231,"Lannin, Daniel G., Vogel, David L., Brenner, Rachel E., Abraham, W. and Heath, Patrick J.","Attitude","NA",2016
233,"Chen, Juan and Zhu, Shizhan","S/Financial-Capital","Kessler Psychological Distress Scale (K10)",2016
233,"Chen, Juan and Zhu, Shizhan","Attitude/Concern","Kessler Psychological Distress Scale (K10)",2016
233,"Chen, Juan and Zhu, Shizhan","S/Age","Kessler Psychological Distress Scale (K10)",2016
233,"Chen, Juan and Zhu, Shizhan","S/Education","Kessler Psychological Distress Scale (K10)",2016
233,"Chen, Juan and Zhu, Shizhan","S/Employment","Kessler Psychological Distress Scale (K10)",2016
233,"Chen, Juan and Zhu, Shizhan","S/Household","Kessler Psychological Distress Scale (K10)",2016
233,"Chen, Juan and Zhu, Shizhan","S/Location","Kessler Psychological Distress Scale (K10)",2016
233,"Chen, Juan and Zhu, Shizhan","S/Race or Ethnicity","Kessler Psychological Distress Scale (K10)",2016
239,"Wang, Weirui and Ahern, Lee","Affect","Risk Information Seeking and Processing (RISP); Theory of Planned Behavior (TPB)",2015
239,"Wang, Weirui and Ahern, Lee","S/Gender","Risk Information Seeking and Processing (RISP); Theory of Planned Behavior (TPB)",2015
249,"Sun, Ye, Liu, Miao and Krakow, Melinda","S/Financial-Health Insurance","Mavens from Marketing Literature",2016
249,"Sun, Ye, Liu, Miao and Krakow, Melinda","Health Cond","Mavens from Marketing Literature",2016
249,"Sun, Ye, Liu, Miao and Krakow, Melinda","S/Education","Mavens from Marketing Literature",2016
249,"Sun, Ye, Liu, Miao and Krakow, Melinda","S/Gender","Mavens from Marketing Literature",2016
249,"Sun, Ye, Liu, Miao and Krakow, Melinda","S/Race or Ethnicity","Mavens from Marketing Literature",2016
249,"Sun, Ye, Liu, Miao and Krakow, Melinda","Internet/Experience","Mavens from Marketing Literature",2016
255,"Smith, Samuel G., Pandit, Anjali, Rush, Steven R., Wolf, Michael S. and Simon, Carol","S/Financial-Health Insurance","Patient Activation Measure (PAM)",2015
255,"Smith, Samuel G., Pandit, Anjali, Rush, Steven R., Wolf, Michael S. and Simon, Carol","Self-Efficacy","Patient Activation Measure (PAM)",2015
255,"Smith, Samuel G., Pandit, Anjali, Rush, Steven R., Wolf, Michael S. and Simon, Carol","Health Cond","Patient Activation Measure (PAM)",2015
255,"Smith, Samuel G., Pandit, Anjali, Rush, Steven R., Wolf, Michael S. and Simon, Carol","Health Status","Patient Activation Measure (PAM)",2015
255,"Smith, Samuel G., Pandit, Anjali, Rush, Steven R., Wolf, Michael S. and Simon, Carol","S/Age","Patient Activation Measure (PAM)",2015
255,"Smith, Samuel G., Pandit, Anjali, Rush, Steven R., Wolf, Michael S. and Simon, Carol","S/Education","Patient Activation Measure (PAM)",2015
255,"Smith, Samuel G., Pandit, Anjali, Rush, Steven R., Wolf, Michael S. and Simon, Carol","S/Gender","Patient Activation Measure (PAM)",2015
255,"Smith, Samuel G., Pandit, Anjali, Rush, Steven R., Wolf, Michael S. and Simon, Carol","Internet/Access","Patient Activation Measure (PAM)",2015
255,"Smith, Samuel G., Pandit, Anjali, Rush, Steven R., Wolf, Michael S. and Simon, Carol","S/Financial-Income","Patient Activation Measure (PAM)",2015
283,"Chang, Fong-Ching, Chiu, Chiung-Hui, Chen, Ping-Hung, Miao, Nae-Fang, Lee, Ching-Mei, Chiang, Jeng-Tung and Pan, Ying-Chun","S/Financial-Capital","eHealth Literacy Scale",2015
283,"Chang, Fong-Ching, Chiu, Chiung-Hui, Chen, Ping-Hung, Miao, Nae-Fang, Lee, Ching-Mei, Chiang, Jeng-Tung and Pan, Ying-Chun","Info/Health/Info Seeking","eHealth Literacy Scale",2015
